Day,Date,Time,Quantity,Total,Reg Mkdwn,BO Mkdwn
Mon,04/01/2024,11:45:19,1,30,0,0
Mon,04/01/2024,12:06:02,1,26,0,0
Mon,04/01/2024,15:13:45,1,125,0,125
Mon,04/01/2024,15:31:26,1,15,0,5
Mon,04/01/2024,15:33:10,1,24,0,0
Mon,04/01/2024,15:33:10,1,18,0,0
Mon,04/01/2024,17:28:27,1,40,0,0
Mon,04/01/2024,17:29:32,1,20,0,0
Mon,04/01/2024,19:08:26,1,48,0,0
Tue,04/02/2024,14:37:21,1,20,0,0
Tue,04/02/2024,14:56:26,1,28.5,0,0
Tue,04/02/2024,16:51:47,1,60,0,0
Tue,04/02/2024,18:07:03,1,30,0,0
Wed,04/03/2024,12:35:39,1,32,0,0
Wed,04/03/2024,13:51:49,1,30,0,0
Wed,04/03/2024,16:18:22,1,26,0,0
Wed,04/03/2024,17:27:29,1,30,0,0
Wed,04/03/2024,17:27:29,1,25,0,0
Wed,04/03/2024,17:27:29,1,17.5,0,0
Wed,04/03/2024,17:27:29,1,28,0,0
Wed,04/03/2024,17:35:57,1,30,0,0
Wed,04/03/2024,18:59:33,1,60,0,0
Thur,04/04/2024,12:22:30,1,28,0,0
Thur,04/04/2024,12:57:02,1,18,0,0
Thur,04/04/2024,13:05:01,1,125,0,0
Thur,04/04/2024,13:50:37,1,32,0,0
Thur,04/04/2024,16:02:00,1,21.25,0,21.25
Thur,04/04/2024,16:02:00,1,30,0,0
Thur,04/04/2024,16:35:07,-1,-46,0,45
Thur,04/04/2024,16:38:31,1,50,0,0
Thur,04/04/2024,16:44:57,1,44,0,0
Thur,04/04/2024,18:24:49,1,30,0,0
Thur,04/04/2024,19:13:32,1,30,0,0
Fri,04/05/2024,12:54:01,-1,-26,0,0
Fri,04/05/2024,13:13:43,1,65,0,65
Fri,04/05/2024,14:13:24,1,50,0,0
Fri,04/05/2024,15:02:55,1,46,0,0
Fri,04/05/2024,15:18:02,1,18,0,0
Fri,04/05/2024,16:24:55,1,55,0,0
Fri,04/05/2024,17:17:34,1,36,0,0
Fri,04/05/2024,17:30:35,1,35,0,0
Fri,04/05/2024,18:27:50,1,28,0,0
Fri,04/05/2024,18:38:00,1,48,0,0
Fri,04/05/2024,18:59:12,1,45,0,0
Fri,04/05/2024,19:52:22,1,51,0,17
Sat,04/06/2024,13:24:50,1,63.75,0,21.25
Sat,04/06/2024,14:36:28,1,26,0,0
Sat,04/06/2024,14:38:46,1,30,0,0
Sat,04/06/2024,14:56:52,1,32,0,0
Sat,04/06/2024,14:56:52,1,45,0,0
Sat,04/06/2024,14:58:11,1,25,0,0
Sat,04/06/2024,15:29:12,1,18,0,0
Sat,04/06/2024,16:22:49,1,60,0,0
Sat,04/06/2024,16:50:29,1,70,0,0
Sat,04/06/2024,17:16:59,1,18,0,6
Sat,04/06/2024,17:29:48,1,40,0,0
Sat,04/06/2024,17:32:29,1,70,0,0
Sat,04/06/2024,19:31:46,1,65,0,0
Sun,04/07/2024,14:16:17,1,22,0,0
Sun,04/07/2024,14:26:43,1,37,0,0
Sun,04/07/2024,14:29:29,1,9,0,9
Sun,04/07/2024,14:32:17,1,16,0,0
Sun,04/07/2024,15:37:25,1,90,0,0
Sun,04/07/2024,15:59:57,1,42,0,0
Sun,04/07/2024,16:50:55,1,25,0,0
Sun,04/07/2024,17:33:23,1,34,0,0
Sun,04/07/2024,18:41:12,1,60,0,0